EMP_ID,Role,Domain,Analytical Skills,Technical Proficiency,Communication Skills,Problem Solving Skills,test,dafedaf,lkjdhfdghj,Years of experience in Business Analysis,Experience of related Domain,Leadership-Team lead experience,etset,Bachelor's Degree,Master's Degree,KPI_Score,Proficiency in Programming Languages,"Database Management (SQL, NoSQL)",API Development and Integration,Knowledge of Frameworks,Understanding of Microservices Architecture,Years of experience in Bacend Engineer,"Scripting and Automation (Python, Bash)",Continuous Integration/Continuous Deployment,"Cloud Platforms ( AWS, Azure, GCP)",Configuration Management Tools,Monitoring and Logging Tools,Years of experience in DevOps Engineer,Leadership/Team lead experience,Proficiency in HTML/CSS,Proficiency in JavaScript/TypeScript,Knowledge of Frontend Frameworks/Libraries,UI/UX Design Principles,Responsive Design and Cross-Browser Compatibility,Years of experience in FrontEnd engineer,Proficiency in Frontend Technologies,Proficiency in Backend Technologies,Knowledge of Frontend Frameworks,Knowledge of Backend Frameworks,Years of experience in Fullstack engineer,planning & scheduling,Leadership and Team Management,Risk Management,Budgeting and Cost Control,Knowledge of Project Management Methodologies,Excellent communication,Test Automation,Knowledge of testing methodologies,Bug tracking and reporting,Years of experience in QA,Technical Expertise,Project Management Skills,Problem-Solving and Decision-Making,Communication and Collaboration,Years of experience in Tech Lead,Performance_Category
BU_SYN_10,Business Analyst,Health,Novice,Novice,Advanced,Novice,Novice,Novice,Intermediate,3-5 years,6 - 14,Non-Lead,related field,Unrelated,Unrelated,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_11,Business Analyst,E-Commerce,Advanced,Intermediate,Intermediate,Advanced,Novice,Intermediate,Advanced,3-5 years,6 - 14,Leadership,related field,related,Unrelated,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_12,Business Analyst,Finance,Advanced,Novice,Advanced,Intermediate,Advanced,Intermediate,Intermediate,3-5 years,15+,Non-Lead,related field,related,related,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_13,Business Analyst,E-Commerce,Novice,Novice,Advanced,Novice,Novice,Intermediate,Novice,1-2 years,0 - 5,Leadership,related field,Unrelated,Unrelated,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_14,Business Analyst,Finance,Novice,Advanced,Intermediate,Novice,Novice,Intermediate,Intermediate,5+ years,6 - 14,Leadership,Unrelated field,related,related,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_15,Business Analyst,E-Commerce,Intermediate,Intermediate,Advanced,Novice,Advanced,Intermediate,Intermediate,3-5 years,0 - 5,Leadership,related field,related,Unrelated,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_16,Business Analyst,Finance,Intermediate,Novice,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,3-5 years,6 - 14,Leadership,Unrelated field,Unrelated,Unrelated,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_17,Business Analyst,Education,Advanced,Novice,Advanced,Advanced,Intermediate,Intermediate,Intermediate,1-2 years,15+,Leadership,related field,Unrelated,related,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_18,Business Analyst,E-Commerce,Advanced,Novice,Novice,Advanced,Novice,Intermediate,Novice,1-2 years,0 - 5,Non-Lead,related field,related,related,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_19,Business Analyst,E-Commerce,Novice,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,5+ years,6 - 14,Leadership,related field,Unrelated,related,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_20,Business Analyst,Finance,Novice,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,3-5 years,0 - 5,Non-Lead,Unrelated field,Unrelated,Unrelated,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_21,Business Analyst,E-Commerce,Novice,Novice,Intermediate,Intermediate,Intermediate,Novice,Intermediate,3-5 years,15+,Leadership,related field,related,related,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_22,Business Analyst,Education,Intermediate,Novice,Intermediate,Novice,Intermediate,Advanced,Advanced,5+ years,15+,Non-Lead,Unrelated field,related,Unrelated,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_23,Business Analyst,Finance,Intermediate,Advanced,Novice,Novice,Advanced,Novice,Intermediate,1-2 years,6 - 14,Non-Lead,Unrelated field,related,related,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_24,Business Analyst,Health,Novice,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,5+ years,6 - 14,Leadership,related field,related,Unrelated,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_25,Business Analyst,Finance,Advanced,Novice,Advanced,Advanced,Novice,Novice,Intermediate,1-2 years,0 - 5,Leadership,related field,related,Unrelated,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_26,Business Analyst,Education,Advanced,Intermediate,Intermediate,Novice,Advanced,Novice,Intermediate,5+ years,15+,Non-Lead,Unrelated field,Unrelated,Unrelated,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_27,Business Analyst,Finance,Intermediate,Advanced,Novice,Intermediate,Advanced,Novice,Advanced,5+ years,0 - 5,Non-Lead,related field,related,related,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_28,Business Analyst,Education,Novice,Novice,Novice,Advanced,Novice,Novice,Intermediate,5+ years,6 - 14,Leadership,related field,related,Unrelated,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_29,Business Analyst,Health,Advanced,Advanced,Advanced,Intermediate,Advanced,Novice,Novice,1-2 years,6 - 14,Leadership,related field,Unrelated,related,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_30,Business Analyst,Health,Novice,Intermediate,Novice,Advanced,Novice,Intermediate,Advanced,5+ years,0 - 5,Non-Lead,related field,Unrelated,Unrelated,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_31,Business Analyst,Education,Intermediate,Advanced,Intermediate,Intermediate,Novice,Novice,Intermediate,1-2 years,0 - 5,Non-Lead,related field,Unrelated,related,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_32,Business Analyst,Health,Intermediate,Advanced,Intermediate,Advanced,Advanced,Novice,Advanced,5+ years,0 - 5,Leadership,Unrelated field,related,related,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_33,Business Analyst,Finance,Intermediate,Novice,Advanced,Intermediate,Intermediate,Novice,Advanced,1-2 years,0 - 5,Leadership,related field,related,Unrelated,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_34,Business Analyst,Education,Novice,Advanced,Advanced,Novice,Novice,Advanced,Intermediate,5+ years,6 - 14,Non-Lead,related field,Unrelated,related,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_35,Business Analyst,Health,Advanced,Novice,Intermediate,Advanced,Advanced,Advanced,Novice,5+ years,15+,Leadership,related field,related,related,79.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_36,Business Analyst,Health,Advanced,Intermediate,Intermediate,Advanced,Novice,Novice,Novice,3-5 years,15+,Non-Lead,Unrelated field,Unrelated,related,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_37,Business Analyst,Finance,Advanced,Novice,Advanced,Novice,Novice,Intermediate,Advanced,1-2 years,6 - 14,Leadership,related field,Unrelated,related,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_38,Business Analyst,Health,Intermediate,Advanced,Advanced,Intermediate,Novice,Novice,Intermediate,3-5 years,6 - 14,Non-Lead,related field,related,related,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_39,Business Analyst,Education,Intermediate,Advanced,Advanced,Advanced,Novice,Novice,Intermediate,3-5 years,6 - 14,Non-Lead,Unrelated field,Unrelated,Unrelated,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_40,Business Analyst,Education,Novice,Advanced,Intermediate,Novice,Advanced,Novice,Intermediate,1-2 years,0 - 5,Non-Lead,related field,related,Unrelated,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_41,Business Analyst,E-Commerce,Intermediate,Novice,Novice,Intermediate,Advanced,Advanced,Novice,3-5 years,0 - 5,Leadership,Unrelated field,Unrelated,related,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_42,Business Analyst,Finance,Advanced,Novice,Advanced,Advanced,Advanced,Intermediate,Intermediate,3-5 years,0 - 5,Leadership,Unrelated field,related,Unrelated,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_43,Business Analyst,E-Commerce,Intermediate,Novice,Novice,Advanced,Novice,Advanced,Novice,1-2 years,15+,Leadership,Unrelated field,Unrelated,Unrelated,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_44,Business Analyst,E-Commerce,Novice,Intermediate,Novice,Intermediate,Intermediate,Novice,Advanced,1-2 years,15+,Non-Lead,Unrelated field,Unrelated,Unrelated,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_45,Business Analyst,Education,Novice,Advanced,Intermediate,Novice,Novice,Intermediate,Advanced,5+ years,15+,Non-Lead,related field,Unrelated,related,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_46,Business Analyst,Finance,Intermediate,Novice,Novice,Novice,Novice,Intermediate,Advanced,5+ years,6 - 14,Leadership,Unrelated field,related,related,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_47,Business Analyst,Health,Intermediate,Advanced,Advanced,Advanced,Novice,Novice,Novice,3-5 years,15+,Leadership,Unrelated field,Unrelated,related,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_48,Business Analyst,Education,Intermediate,Advanced,Advanced,Advanced,Novice,Advanced,Intermediate,1-2 years,6 - 14,Non-Lead,Unrelated field,Unrelated,Unrelated,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_49,Business Analyst,Health,Advanced,Novice,Novice,Novice,Novice,Intermediate,Intermediate,1-2 years,0 - 5,Leadership,Unrelated field,related,related,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_50,Business Analyst,E-Commerce,Intermediate,Advanced,Intermediate,Advanced,Advanced,Novice,Intermediate,1-2 years,6 - 14,Leadership,related field,Unrelated,related,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_51,Business Analyst,Finance,Advanced,Advanced,Intermediate,Novice,Advanced,Novice,Intermediate,5+ years,0 - 5,Leadership,related field,related,Unrelated,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_52,Business Analyst,E-Commerce,Intermediate,Novice,Advanced,Intermediate,Advanced,Novice,Intermediate,3-5 years,15+,Non-Lead,related field,related,Unrelated,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_53,Business Analyst,Health,Advanced,Advanced,Novice,Intermediate,Intermediate,Novice,Intermediate,5+ years,0 - 5,Non-Lead,Unrelated field,related,related,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_54,Business Analyst,E-Commerce,Advanced,Novice,Intermediate,Novice,Advanced,Intermediate,Intermediate,1-2 years,15+,Leadership,related field,related,related,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_55,Business Analyst,E-Commerce,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Advanced,1-2 years,6 - 14,Non-Lead,Unrelated field,Unrelated,related,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_56,Business Analyst,Finance,Novice,Novice,Novice,Advanced,Intermediate,Intermediate,Intermediate,1-2 years,15+,Non-Lead,Unrelated field,related,Unrelated,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_57,Business Analyst,Finance,Novice,Novice,Novice,Novice,Intermediate,Intermediate,Advanced,5+ years,6 - 14,Leadership,Unrelated field,related,Unrelated,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_58,Business Analyst,E-Commerce,Novice,Advanced,Intermediate,Advanced,Intermediate,Novice,Intermediate,3-5 years,0 - 5,Non-Lead,related field,Unrelated,related,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_59,Business Analyst,Education,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Novice,5+ years,0 - 5,Leadership,related field,related,related,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_60,Business Analyst,E-Commerce,Intermediate,Novice,Advanced,Intermediate,Novice,Advanced,Novice,3-5 years,0 - 5,Leadership,Unrelated field,related,related,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_61,Business Analyst,E-Commerce,Novice,Novice,Novice,Novice,Advanced,Intermediate,Advanced,1-2 years,0 - 5,Non-Lead,related field,related,Unrelated,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low
BU_SYN_62,Business Analyst,Finance,Advanced,Novice,Advanced,Advanced,Advanced,Intermediate,Advanced,5+ years,0 - 5,Leadership,related field,Unrelated,Unrelated,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_63,Business Analyst,Health,Novice,Novice,Novice,Novice,Novice,Intermediate,Novice,3-5 years,6 - 14,Leadership,related field,Unrelated,related,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_64,Business Analyst,Finance,Intermediate,Advanced,Intermediate,Advanced,Intermediate,Advanced,Advanced,5+ years,0 - 5,Non-Lead,related field,Unrelated,related,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_65,Business Analyst,Education,Novice,Novice,Novice,Novice,Novice,Advanced,Advanced,1-2 years,6 - 14,Leadership,related field,Unrelated,Unrelated,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low
BU_SYN_66,Business Analyst,Education,Intermediate,Intermediate,Intermediate,Novice,Intermediate,Advanced,Advanced,5+ years,6 - 14,Non-Lead,Unrelated field,Unrelated,related,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_67,Business Analyst,Education,Advanced,Advanced,Advanced,Novice,Advanced,Novice,Novice,3-5 years,15+,Non-Lead,related field,Unrelated,related,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_68,Business Analyst,E-Commerce,Intermediate,Intermediate,Novice,Advanced,Intermediate,Advanced,Intermediate,3-5 years,6 - 14,Non-Lead,Unrelated field,related,Unrelated,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_69,Business Analyst,Education,Advanced,Novice,Advanced,Intermediate,Novice,Intermediate,Novice,5+ years,6 - 14,Non-Lead,Unrelated field,Unrelated,Unrelated,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_70,Business Analyst,Education,Intermediate,Advanced,Advanced,Intermediate,Advanced,Novice,Advanced,3-5 years,0 - 5,Leadership,related field,related,related,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_71,Business Analyst,Finance,Advanced,Advanced,Novice,Intermediate,Advanced,Novice,Intermediate,5+ years,6 - 14,Non-Lead,Unrelated field,related,related,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_72,Business Analyst,Education,Advanced,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,1-2 years,15+,Non-Lead,related field,related,Unrelated,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_73,Business Analyst,Health,Advanced,Novice,Intermediate,Novice,Advanced,Advanced,Novice,5+ years,15+,Leadership,Unrelated field,related,Unrelated,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_74,Business Analyst,Health,Advanced,Novice,Intermediate,Intermediate,Novice,Advanced,Novice,3-5 years,0 - 5,Leadership,related field,related,related,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_75,Business Analyst,Education,Intermediate,Novice,Intermediate,Advanced,Advanced,Novice,Intermediate,3-5 years,6 - 14,Non-Lead,Unrelated field,related,related,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_76,Business Analyst,Health,Novice,Advanced,Advanced,Novice,Intermediate,Intermediate,Intermediate,3-5 years,0 - 5,Leadership,related field,Unrelated,Unrelated,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_77,Business Analyst,Health,Advanced,Advanced,Advanced,Novice,Advanced,Intermediate,Advanced,3-5 years,15+,Leadership,related field,Unrelated,related,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_78,Business Analyst,E-Commerce,Novice,Novice,Intermediate,Intermediate,Novice,Advanced,Novice,5+ years,15+,Leadership,related field,Unrelated,Unrelated,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_79,Business Analyst,Education,Novice,Intermediate,Advanced,Advanced,Intermediate,Intermediate,Novice,1-2 years,0 - 5,Leadership,related field,Unrelated,related,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_80,Business Analyst,Health,Advanced,Advanced,Advanced,Novice,Intermediate,Advanced,Intermediate,3-5 years,15+,Non-Lead,Unrelated field,related,Unrelated,78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_81,Business Analyst,E-Commerce,Novice,Intermediate,Advanced,Novice,Advanced,Intermediate,Advanced,1-2 years,6 - 14,Non-Lead,Unrelated field,Unrelated,Unrelated,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_82,Business Analyst,Education,Intermediate,Novice,Novice,Advanced,Novice,Intermediate,Advanced,3-5 years,0 - 5,Leadership,Unrelated field,Unrelated,Unrelated,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_83,Business Analyst,Health,Advanced,Intermediate,Intermediate,Advanced,Advanced,Novice,Intermediate,3-5 years,6 - 14,Non-Lead,Unrelated field,Unrelated,Unrelated,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_84,Business Analyst,E-Commerce,Novice,Novice,Intermediate,Novice,Intermediate,Novice,Advanced,3-5 years,6 - 14,Leadership,Unrelated field,Unrelated,Unrelated,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_85,Business Analyst,Health,Novice,Intermediate,Intermediate,Advanced,Intermediate,Advanced,Intermediate,5+ years,15+,Non-Lead,related field,Unrelated,related,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_86,Business Analyst,Education,Novice,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,3-5 years,15+,Leadership,related field,related,Unrelated,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_87,Business Analyst,E-Commerce,Intermediate,Intermediate,Novice,Novice,Advanced,Novice,Advanced,3-5 years,6 - 14,Non-Lead,related field,Unrelated,Unrelated,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_88,Business Analyst,Finance,Intermediate,Advanced,Advanced,Novice,Intermediate,Novice,Advanced,5+ years,15+,Leadership,Unrelated field,related,Unrelated,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_89,Business Analyst,Finance,Novice,Intermediate,Novice,Novice,Advanced,Novice,Advanced,1-2 years,0 - 5,Non-Lead,Unrelated field,related,Unrelated,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_90,Business Analyst,E-Commerce,Intermediate,Novice,Novice,Novice,Advanced,Advanced,Advanced,5+ years,15+,Leadership,related field,related,Unrelated,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_91,Business Analyst,Finance,Intermediate,Intermediate,Advanced,Novice,Advanced,Novice,Intermediate,1-2 years,15+,Leadership,related field,related,Unrelated,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_92,Business Analyst,E-Commerce,Novice,Advanced,Advanced,Advanced,Novice,Intermediate,Intermediate,5+ years,0 - 5,Leadership,Unrelated field,related,related,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_93,Business Analyst,Health,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Novice,3-5 years,6 - 14,Non-Lead,related field,related,Unrelated,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
BU_SYN_94,Business Analyst,Finance,Novice,Advanced,Novice,Intermediate,Advanced,Novice,Novice,3-5 years,15+,Leadership,related field,Unrelated,related,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_95,Business Analyst,E-Commerce,Intermediate,Novice,Intermediate,Advanced,Intermediate,Intermediate,Novice,3-5 years,15+,Leadership,Unrelated field,related,Unrelated,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
BU_SYN_96,Business Analyst,Education,Advanced,Advanced,Novice,Novice,Novice,Advanced,Advanced,3-5 years,15+,Non-Lead,related field,related,Unrelated,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High
